Question,Answer,File,URL
How does the SFU Health & Counselling Team positively influence student health and well-being?,"- By providing services and resources
- Offering counselling consultation appointments
- Supporting and guiding students through various services and professionals
- Sharing tips for good mental health practices
- Encouraging seeking additional support when needed
- Providing information on sexual health services
- Offering strategies for practicing resilience in personal growth and well-being
- Promoting self-growth, healing, and forming good habits through recommended books
- Addressing common thinking patterns associated with anxiety and how to interrupt them",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I prioritize my physical health as a student?,"- Managing screen time
- Fostering good sleep hygiene
- Prioritizing overall well-being as a student",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What are some tips for balancing academic responsibilities and personal well-being during the summer?,"1. Prioritize your tasks and create a schedule
2. Set boundaries for work and relaxation
3. Stay organized and plan ahead
4. Take breaks and make time for self-care",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I interrupt common thinking patterns associated with anxiety?,"- Connect with Health & Counselling for a counselling consultation appointment to receive support and guidance
- Read about the common thinking patterns associated with anxiety and how to interrupt them on the SFU Indigenous Student Centre (ISC) website",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What can healthy activism look like?,"Healthy activism involves advocating for social change in a way that prioritizes self-care, mental well-being, and sustainable practices. It involves engaging in activism that is inclusive, respectful, and mindful of the impact on oneself and others. It also includes setting boundaries, taking breaks when needed, and seeking support from a community or professional resources.",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What sexual health services are available to SFU community members?,Members of the SFU community have access to a myriad of sexual health services.,0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
Can you recommend any books for self-growth and healing?,"The Health Peers share some books that have helped with self-growth, healing, and forming good habits.",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I discuss abstinence with partners?,Sex positivity includes the agency to decide whether to have sex. Check out these tips on discussing abstinence with partners.,0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I embrace loneliness and reach out for support in university?,"- Embrace loneliness by acknowledging and accepting it
- Reach out for support by connecting with resources such as Health & Counselling
- Practice self-care and prioritize mental health
- Engage in meaningful connections within the community
- Seek additional support when needed",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What are some tips for being more present in the moment for better mental health?,- Sharing tips for good mental health practices is essential for building both a helpful community and a better future for yourself,0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
